iter	Passed	Remaining
401	17610	70005
402	17651	69950
403	17667	69794
404	17711	69754
405	17755	69710
406	17797	69660
407	17842	69622
408	17885	69572
409	17930	69537
410	17975	69497
411	18018	69451
412	18035	69303
413	18078	69257
414	18093	69104
415	18136	69059
416	18178	69007
417	18220	68958
418	18266	68923
419	18308	68876
420	18323	68725
421	18376	68714
422	18417	68662
423	18464	68631
424	18507	68587
425	18555	68559
426	18598	68513
427	18645	68483
428	18692	68453
429	18734	68402
430	18780	68366
431	18823	68323
432	18866	68276
433	18910	68235
434	18959	68209
435	19004	68170
436	19049	68134
437	19093	68092
438	19137	68049
439	19184	68017
440	19229	67978
441	19250	67857
442	19296	67819
443	19342	67784
444	19389	67752
445	19430	67703
446	19478	67672
447	19524	67637
448	19569	67599
449	19613	67556
450	19663	67535
451	19707	67493
452	19756	67467
453	19800	67424
454	19843	67381
455	19890	67347
456	19936	67314
457	19987	67292
458	20030	67247
459	20078	67218
460	20125	67186
461	20173	67158
462	20220	67125
463	20271	67106
464	20317	67070
465	20367	67046
466	20412	67006
467	20455	66960
468	20500	66920
469	20542	66871
470	20559	66743
471	20600	66688
472	20641	66636
473	20685	66594
474	20728	66548
475	20770	66500
476	20814	66459
477	20858	66416
478	20899	66362
479	20940	66312
480	20983	66266
481	20998	66133
482	21039	66079
483	21083	66037
484	21126	65991
485	21170	65951
486	21189	65830
487	21232	65785
488	21273	65734
489	21315	65687
490	21359	65645
491	21400	65591
492	21443	65548
493	21487	65507
494	21529	65459
495	21571	65409
496	21613	65363
497	21658	65322
498	21699	65273
499	21743	65231
500	21788	65192
501	21831	65146
502	21875	65103
503	21917	65057
504	21961	65015
505	22004	64969
506	22053	64941
507	22098	64903
508	22123	64805
509	22167	64764
510	22211	64722
511	22255	64680
512	22297	64633
513	22343	64594
514	22387	64554
515	22430	64510
516	22475	64471
517	22520	64429
518	22563	64386
519	22608	64346
520	22656	64317
521	22698	64268
522	22713	64144
523	22756	64100
524	22798	64054
525	22840	64006
526	22882	63958
527	22926	63915
528	22973	63883
529	23017	63841
530	23062	63803
531	23108	63766
532	23152	63722
533	23196	63681
534	23239	63636
535	23282	63591
536	23327	63553
537	23373	63516
538	23418	63476
539	23461	63432
540	23506	63392
541	23548	63347
542	23597	63318
543	23641	63274
544	23687	63239
545	23729	63191
546	23776	63158
547	23821	63118
548	23869	63086
549	23915	63051
550	23960	63009
551	24006	62974
552	24030	62879
553	24047	62766
554	24094	62731
555	24139	62693
556	24182	62648
557	24226	62607
558	24273	62573
559	24287	62452
560	24329	62406
561	24376	62371
562	24395	62267
563	24436	62216
564	24477	62169
565	24505	62086
566	24547	62040
567	24591	61999
568	24633	61951
569	24647	61834
570	24691	61793
571	24733	61748
572	24778	61709
573	24821	61663
574	24862	61615
575	24909	61580
576	24950	61533
577	24992	61487
578	25036	61446
579	25081	61405
580	25092	61284
581	25136	61243
582	25155	61142
583	25173	61037
584	25217	60996
585	25259	60950
586	25305	60913
587	25346	60866
588	25388	60819
589	25430	60773
590	25446	60667
591	25490	60626
592	25533	60581
593	25577	60542
594	25619	60496
595	25661	60450
596	25706	60411
597	25718	60295
598	25762	60256
599	25810	60225
600	25851	60177
601	25897	60141
602	25939	60094
603	25985	60059
604	26028	60016
605	26073	59978
606	26118	59939
607	26161	59895
608	26207	59860
609	26250	59815
610	26294	59774
611	26336	59730
612	26382	59693
613	26425	59651
614	26436	59535
615	26483	59502
616	26523	59452
617	26568	59413
618	26614	59378
619	26656	59331
620	26703	59298
621	26748	59259
622	26796	59227
623	26810	59120
624	26852	59075
625	26902	59048
626	26946	59006
627	26993	58974
628	27030	58916
629	27072	58872
630	27119	58838
631	27165	58800
632	27211	58765
633	27254	58721
634	27304	58693
635	27348	58652
636	27398	58625
637	27441	58582
638	27488	58548
639	27525	58491
640	27538	58385
641	27586	58352
642	27631	58314
643	27676	58275
644	27723	58240
645	27766	58198
646	27812	58161
647	27858	58124
648	27908	58096
649	27951	58054
650	28004	58029
651	28049	57991
652	28099	57963
653	28143	57923
654	28192	57890
655	28234	57847
656	28279	57807
657	28324	57767
658	28366	57722
659	28382	57624
660	28425	57582
661	28471	57546
662	28516	57506
663	28558	57461
664	28602	57419
665	28643	57373
666	28685	57327
667	28729	57286
668	28770	57240
669	28813	57197
670	28856	57154
671	28901	57114
672	28911	57006
673	28953	56961
674	28997	56921
675	29038	56873
676	29080	56830
677	29123	56786
678	29166	56744
679	29181	56647
680	29224	56603
681	29264	56554
682	29307	56512
683	29327	56425
684	29367	56377
685	29410	56335
686	29455	56294
687	29499	56255
688	29513	56157
689	29525	56055
690	29566	56010
691	29610	55968
692	29652	55924
693	29697	55886
694	29740	55844
695	29783	55800
696	29825	55756
697	29868	55714
698	29911	55673
699	29928	55581
700	29971	55539
701	30012	55494
702	30056	55452
703	30101	55414
704	30142	55368
705	30184	55324
706	30230	55287
707	30275	55247
708	30322	55213
709	30366	55172
710	30410	55132
711	30455	55093
712	30497	55049
713	30544	55013
714	30588	54973
715	30631	54930
716	30675	54891
717	30724	54858
718	30768	54818
719	30810	54773
720	30854	54734
721	30898	54693
722	30948	54662
723	30993	54624
724	31042	54591
725	31087	54552
726	31132	54513
727	31176	54473
728	31223	54438
729	31268	54398
730	31317	54366
731	31336	54281
732	31378	54238
733	31427	54206
734	31473	54167
735	31520	54133
736	31563	54089
737	31575	53994
738	31625	53963
739	31686	53953
740	31741	53931
741	31788	53895
742	31842	53870
743	31859	53783
744	31907	53750
745	31959	53722
746	32006	53686
747	32055	53654
748	32101	53616
749	32149	53581
750	32193	53541
751	32241	53507
752	32289	53472
753	32339	53441
754	32383	53401
755	32426	53358
756	32469	53315
757	32509	53268
758	32553	53227
759	32598	53186
760	32613	53098
761	32656	53056
762	32665	52958
763	32706	52912
764	32748	52867
