iter	Logloss
0	0.6875827855
1	0.6828982175
2	0.6778015424
3	0.6730218285
4	0.6685522729
5	0.6646368245
6	0.6605677343
7	0.6564955779
8	0.6530800524
9	0.6494413702
10	0.6459557071
11	0.6426367647
12	0.6393724858
13	0.6361182196
14	0.633204773
15	0.6301194315
16	0.6270233585
17	0.6244014339
18	0.6218295255
19	0.6194052704
20	0.6172916047
21	0.6150552938
22	0.6132588289
23	0.6113781413
24	0.609304479
25	0.6074845869
26	0.6057287004
27	0.6038557738
28	0.6022276107
29	0.6006319295
30	0.5990460694
31	0.5975043807
32	0.5961588765
33	0.5948936666
34	0.5937721336
35	0.5927612688
36	0.5915018558
37	0.5905783757
38	0.5895168718
39	0.5883070438
40	0.5875000287
41	0.5864849959
42	0.5853107638
43	0.5846057934
44	0.5835732261
45	0.5826980375
46	0.5818284063
47	0.5812418173
48	0.5804715958
49	0.5797476536
50	0.5789769051
51	0.5783124651
52	0.5777297566
53	0.5772377385
54	0.5767301023
55	0.5762567685
56	0.5758626749
57	0.5752691871
58	0.5747600178
59	0.5743060868
60	0.5738881828
61	0.5731978723
62	0.5728502019
63	0.5724486347
64	0.5721255891
65	0.5716679212
66	0.5713351503
67	0.5710347653
68	0.5708037516
69	0.5705626771
70	0.5701710268
71	0.5697469906
72	0.5694842616
73	0.5691017618
74	0.5687729193
75	0.5684358366
76	0.5682092783
77	0.5679714137
78	0.567674574
79	0.5673973766
80	0.5669822992
81	0.5666244243
82	0.5664844842
83	0.5661953577
84	0.565888074
85	0.5656210332
86	0.565311881
87	0.5651681083
88	0.5649165898
89	0.5646240139
90	0.5643811668
91	0.5641422002
92	0.5638642843
93	0.563611089
94	0.5634194558
95	0.5632150791
96	0.5630101753
97	0.5628480058
98	0.5625837437
99	0.5623665754
100	0.5621952075
101	0.562027241
102	0.5618131868
103	0.5616290274
104	0.5614232134
105	0.5612951066
106	0.5610475166
107	0.5608749509
108	0.5606387152
109	0.5604393688
110	0.5602117565
111	0.5599908514
112	0.559811387
113	0.5596261736
114	0.5594866646
115	0.5593226267
116	0.5592843958
117	0.5590543403
118	0.559013235
119	0.558893081
120	0.5587017353
121	0.5585738681
122	0.5584498335
123	0.5583104683
124	0.558145041
125	0.558003999
126	0.5578857614
127	0.557796604
128	0.5577462045
129	0.5575892091
130	0.5574373398
131	0.5572828356
132	0.557153052
133	0.5570274365
134	0.5569611314
135	0.5568869694
136	0.5567640367
137	0.5566307559
138	0.5565148657
139	0.5564001733
140	0.556296883
141	0.5561289645
142	0.5560250514
143	0.5559838503
144	0.5558234055
145	0.5557464648
146	0.5556135672
147	0.5554246648
148	0.5553604198
149	0.5552326963
150	0.5551375504
151	0.5551020025
152	0.5549986164
153	0.5548387465
154	0.554713083
155	0.5546750918
156	0.5545821018
157	0.5544915072
158	0.5543233491
159	0.5542041054
160	0.5541240986
161	0.5540401632
162	0.5539330403
163	0.5538174855
164	0.5536847317
165	0.553617181
166	0.5535488638
167	0.5534553947
168	0.5534334527
169	0.5532872366
170	0.5532036367
171	0.5531189827
172	0.5530499948
173	0.5529694131
174	0.5528431268
175	0.5527769176
176	0.5527137744
177	0.5526285935
178	0.5524843417
179	0.5523236094
180	0.5522197921
181	0.5521209573
182	0.5519962999
183	0.5519217547
184	0.5518618214
185	0.5517225041
186	0.5516463778
187	0.5515859176
188	0.55145508
189	0.5513687014
190	0.5513059415
191	0.5511851648
192	0.5510655857
193	0.5509897948
194	0.5509375268
195	0.5508371111
196	0.5507401447
197	0.5506628207
198	0.5506060015
199	0.5505156944
200	0.5504302739
201	0.550273518
202	0.5501971522
203	0.5500936703
204	0.5499871223
205	0.5498910182
206	0.5498231801
207	0.5497196982
208	0.5495628465
209	0.5495331433
210	0.5494154806
211	0.5493649373
212	0.5492935061
213	0.5492814332
214	0.5492630364
215	0.5492275364
216	0.5491594108
217	0.5491048433
218	0.5489926421
219	0.5489241811
220	0.5488032127
221	0.5487996675
222	0.5487104622
223	0.5486570924
224	0.5485782354
225	0.5485567725
226	0.548493821
227	0.5484016454
228	0.5484011664
229	0.5482976366
230	0.5482970617
231	0.5482401466
232	0.5481619124
233	0.5480596761
234	0.5479555235
235	0.5478914222
236	0.5478635396
237	0.5477688728
238	0.5477052506
239	0.5476147039
240	0.5474873637
241	0.5473694135
242	0.5473101989
243	0.5472937184
244	0.5472811664
245	0.5471581859
246	0.5470927911
247	0.5470185811
248	0.5470145089
249	0.5469480122
250	0.5468681012
251	0.5467913521
252	0.5466903615
253	0.5464999739
254	0.5464920691
255	0.5464208774
256	0.54633172
257	0.5462299628
258	0.5460902623
259	0.5460362217
260	0.5459299612
261	0.5458756332
262	0.5457705224
263	0.5456885034
264	0.545573811
265	0.5455223575
266	0.5454762697
267	0.5454595018
268	0.5453823694
269	0.5453084949
270	0.545239986
271	0.5451541344
272	0.5451166701
273	0.5450903205
274	0.5449966119
275	0.544913491
276	0.5448179619
277	0.5447930975
278	0.5447402547
279	0.5446917236
280	0.5446164597
281	0.5445340574
282	0.5444398218
283	0.544392728
284	0.5442880484
285	0.5442226057
286	0.544131532
287	0.5440758147
288	0.5440434766
289	0.5439898672
290	0.5439756864
291	0.5439034407
292	0.5438355546
293	0.5437729864
294	0.5437059627
295	0.5436170449
296	0.5435910786
297	0.5434704456
298	0.5434309691
299	0.5433586755
300	0.5432501633
301	0.5431691025
302	0.5431554486
303	0.5430900059
304	0.5430490922
305	0.5429569167
306	0.5428649807
307	0.5427938368
308	0.5426860432
309	0.5425753272
310	0.5425541038
311	0.5424358182
312	0.5423463735
313	0.5422488801
314	0.5421916297
315	0.5421633159
316	0.5420856566
317	0.5419806895
318	0.541938626
319	0.5418790281
320	0.5418176576
321	0.5417717136
322	0.5417115408
323	0.5417117324
324	0.5417038754
325	0.5417038754
326	0.5416132809
327	0.5415563658
328	0.5415037625
329	0.5414199709
330	0.5413768535
331	0.5412478844
332	0.5411742493
333	0.5411288802
334	0.5411241852
335	0.5410791035
336	0.540989515
337	0.5409354265
338	0.5408671093
339	0.5408426761
340	0.5408356815
341	0.5407500215
342	0.5407501173
343	0.5406705895
344	0.5406473061
345	0.5405321825
346	0.540496395
347	0.5404649193
348	0.540372073
349	0.5402484217
350	0.5401889675
351	0.5401595039
352	0.5400929114
353	0.5400030834
354	0.5399279153
355	0.539815235
356	0.5397519481
357	0.5396999677
358	0.539640226
359	0.5395118797
360	0.5394364721
361	0.5393852102
362	0.5392543248
363	0.5392094826
364	0.5391470102
365	0.5390426181
366	0.538938705
367	0.5389165714
368	0.5388056637
369	0.538717752
370	0.5386995468
371	0.5386034907
372	0.5385780514
373	0.5384845344
374	0.5383940836
375	0.5383409533
376	0.5382597488
377	0.538194306
378	0.5381208147
379	0.5380636122
380	0.5380090926
381	0.5378442881
382	0.5377908225
383	0.5377306497
384	0.5376197899
385	0.5375474484
386	0.5375014564
387	0.5374164192
388	0.5373228543
389	0.5372312537
390	0.5371388386
391	0.5370343985
392	0.5369210954
393	0.5368326567
394	0.5366900817
395	0.5365728022
396	0.5364819681
397	0.5363810732
398	0.5363766657
399	0.5362961798
400	0.5362143524
401	0.5361560001
402	0.5360663158
403	0.5359396463
404	0.5358635679
405	0.5357828904
406	0.5357308141
407	0.5356666649
408	0.535499465
409	0.5353919588
410	0.5352974836
411	0.5352046853
412	0.5351780004
413	0.5350671885
414	0.5349847862
415	0.5349408543
416	0.5348218502
417	0.5347429931
418	0.5346862697
419	0.5345964896
420	0.5345019186
421	0.5343705541
422	0.534253083
423	0.5341821787
424	0.5340449215
425	0.5339208869
426	0.5338536716
427	0.5337624063
428	0.5336950952
429	0.5336294129
430	0.5335075822
431	0.5334085557
432	0.5332985583
433	0.5331974718
434	0.5330975351
435	0.5330095276
436	0.5329359405
437	0.5328709289
438	0.5327555179
439	0.5327028667
440	0.5326313396
441	0.5325088381
442	0.5323541423
443	0.5322469714
444	0.5321807622
445	0.5320774719
446	0.5319931533
447	0.531914967
448	0.531777614
449	0.531722232
450	0.5316207143
451	0.5315380246
452	0.5313881675
453	0.5313099812
454	0.5312153144
455	0.5311406733
456	0.5310575524
457	0.5309635564
458	0.5308497742
459	0.5307759954
460	0.5307041809
461	0.5306264258
462	0.5305780863
463	0.5304556806
464	0.5303128181
465	0.5302154685
466	0.5301064292
467	0.5299873292
468	0.5298404424
469	0.5297251272
470	0.5296661521
471	0.5295385244
472	0.5294104176
473	0.529293761
474	0.5291407898
475	0.5290601602
476	0.5289922262
477	0.5289436472
478	0.5288393509
479	0.52872073
480	0.5285984201
481	0.5284485151
482	0.5283412484
483	0.5282487854
484	0.5281690181
485	0.528008717
486	0.5279511312
487	0.5278709328
488	0.5278147843
489	0.5276957801
490	0.5275982388
491	0.527471186
492	0.5273540024
493	0.5272589523
494	0.5270870574
495	0.5269997685
496	0.5268739613
497	0.5267640118
498	0.5266587094
499	0.5265524009
500	0.5264688489
501	0.5264026396
502	0.5263045235
503	0.5262418594
504	0.5261730631
505	0.5260679523
506	0.5259752019
507	0.52587905
508	0.5257944919
509	0.5256827697
510	0.5255652986
511	0.5254540556
512	0.5253688746
513	0.5252616559
514	0.5252132206
515	0.5251195599
516	0.5250332771
517	0.5248947263
518	0.524819175
519	0.5247255622
520	0.5246023421
521	0.5244959378
522	0.5243746819
523	0.5243025799
524	0.524201733
525	0.5240895797
526	0.5239675573
527	0.5238857778
528	0.5237983931
529	0.5237456461
530	0.5236398167
531	0.5235502761
532	0.523427583
533	0.5232720248
534	0.5231962818
535	0.5231199639
536	0.5229957856
